date,market_rate,base_rate,base_future,market_future
20080624,4.55,5.0,5.0,5.02
20080625,4.55,5.0,5.0,5.02
20080626,5.01,5.0,5.0,5.02
20080627,4.99,5.0,5.0,5.01
20080630,5.01,5.0,5.25,5.24
20080701,4.99,5.0,5.25,5.24
20080702,4.99,5.0,5.25,5.24
20080703,4.99,5.0,5.25,5.25
20080704,5.03,5.0,5.25,5.25
20080707,5.01,5.0,5.25,5.25
20080708,5.01,5.0,5.25,5.24
20080709,5.02,5.0,5.25,5.22
20080710,5.01,5.0,5.25,5.23
20080711,5.01,5.0,5.25,5.25
20080714,5.0,5.0,5.25,5.25
20080715,5.01,5.0,5.25,5.24
20080716,5.0,5.0,5.25,5.24
20080717,5.01,5.0,5.25,5.24
20080718,5.01,5.0,5.25,5.24
20080721,4.58,5.0,5.25,5.25
20080722,4.57,5.0,5.25,5.25
20080723,4.59,5.0,5.25,5.24
20080724,5.0,5.0,5.25,5.25
20080725,5.0,5.0,5.25,5.25
20080728,5.01,5.0,5.25,5.24
20080729,5.0,5.0,5.25,5.25
20080730,5.0,5.0,5.25,5.28
20080731,5.03,5.0,5.25,5.22
20080801,5.02,5.0,5.25,5.25
20080804,5.02,5.0,5.25,5.25
20080805,5.02,5.0,5.25,5.23
20080806,5.01,5.0,5.25,5.24
20080807,5.24,5.25,5.25,5.12
20080808,5.24,5.25,5.25,5.07
20080811,5.24,5.25,5.25,4.95
20080812,5.25,5.25,5.25,4.8
20080813,5.25,5.25,5.25,4.86
20080814,5.25,5.25,5.25,5.23
20080818,5.24,5.25,5.25,5.23
20080819,5.22,5.25,5.25,5.22
20080820,5.23,5.25,5.25,5.22
20080821,5.25,5.25,5.25,5.22
20080822,5.25,5.25,5.25,5.22
20080825,5.24,5.25,5.25,5.23
20080826,5.24,5.25,5.25,5.06
20080827,5.24,5.25,5.25,5.12
20080828,5.24,5.25,5.0,4.98
20080829,5.25,5.25,5.0,4.98
20080901,5.25,5.25,5.0,4.98
20080902,5.24,5.25,5.0,4.98
20080903,5.25,5.25,5.0,4.99
20080904,5.25,5.25,5.0,4.99
20080905,5.24,5.25,5.0,4.99
20080908,5.25,5.25,5.0,4.97
20080909,5.28,5.25,5.0,4.89
20080910,5.22,5.25,5.0,4.89
20080911,5.25,5.25,5.0,4.98
20080912,5.25,5.25,5.0,4.98
20080916,5.23,5.25,4.25,4.28
20080917,5.24,5.25,4.25,4.24
20080918,5.12,5.25,4.25,4.24
20080919,5.07,5.25,4.25,4.21
20080922,4.95,5.25,4.25,4.14
20080923,4.8,5.25,4.25,4.1
20080924,4.86,5.25,4.25,4.02
20080925,5.23,5.25,4.25,4.04
20080926,5.23,5.25,4.25,4.22
20080929,5.22,5.25,4.0,3.97
20080930,5.22,5.25,4.0,3.97
20081001,5.22,5.25,4.0,3.98
20081002,5.22,5.25,4.0,3.98
20081006,5.23,5.25,4.0,3.98
20081007,5.06,5.25,4.0,3.98
20081008,5.12,5.25,4.0,3.93
20081009,4.98,5.0,4.0,3.95
20081010,4.98,5.0,4.0,3.95
20081013,4.98,5.0,4.0,3.99
20081014,4.98,5.0,4.0,3.98
20081015,4.99,5.0,4.0,3.99
20081016,4.99,5.0,4.0,3.98
20081017,4.99,5.0,4.0,3.98
20081020,4.97,5.0,4.0,3.98
20081021,4.89,5.0,4.0,3.99
20081022,4.89,5.0,4.0,3.97
20081023,4.98,5.0,4.0,3.97
20081024,4.98,5.0,4.0,3.97
20081027,4.28,4.25,4.0,3.91
20081028,4.24,4.25,4.0,3.85
20081029,4.24,4.25,4.0,3.71
20081030,4.21,4.25,4.0,3.61
20081031,4.14,4.25,4.0,3.62
20081103,4.1,4.25,3.0,3.16
20081104,4.02,4.25,3.0,2.9
20081105,4.04,4.25,3.0,2.83
20081106,4.22,4.25,3.0,2.78
20081107,3.97,4.0,3.0,2.81
20081110,3.97,4.0,3.0,2.81
20081111,3.98,4.0,3.0,2.82
20081112,3.98,4.0,3.0,2.7
20081113,3.98,4.0,3.0,2.57
20081114,3.98,4.0,3.0,2.66
20081117,3.93,4.0,3.0,2.99
20081118,3.95,4.0,3.0,2.97
20081119,3.95,4.0,3.0,2.94
20081120,3.99,4.0,3.0,3.02
20081121,3.98,4.0,3.0,2.87
20081124,3.99,4.0,3.0,2.75
20081125,3.98,4.0,3.0,2.59
20081126,3.98,4.0,3.0,2.58
20081127,3.98,4.0,3.0,2.98
20081128,3.99,4.0,2.5,2.49
20081201,3.97,4.0,2.5,2.42
20081202,3.97,4.0,2.5,2.26
20081203,3.97,4.0,2.5,2.22
20081204,3.91,4.0,2.5,2.04
20081205,3.85,4.0,2.5,2.02
20081208,3.71,4.0,2.5,1.99
20081209,3.61,4.0,2.5,2.0
20081210,3.62,4.0,2.5,2.1
20081211,3.16,3.0,2.5,2.51
20081212,2.9,3.0,2.5,2.44
20081215,2.83,3.0,2.5,2.47
20081216,2.78,3.0,2.5,2.45
20081217,2.81,3.0,2.5,2.41
20081218,2.81,3.0,2.5,2.38
20081219,2.82,3.0,2.5,2.38
20081222,2.7,3.0,2.5,2.38
20081223,2.57,3.0,2.5,2.39
20081224,2.66,3.0,2.5,2.39
20081226,2.99,3.0,2.5,2.2
20081229,2.97,3.0,2.5,2.07
20081230,2.94,3.0,2.5,2.06
20081231,3.02,3.0,2.0,2.02
20090102,2.87,3.0,2.0,1.92
20090105,2.75,3.0,2.0,1.69
20090106,2.59,3.0,2.0,1.76
20090107,2.58,3.0,2.0,1.75
20090108,2.98,3.0,2.0,1.79
20090109,2.49,2.5,2.0,1.82
20090112,2.42,2.5,2.0,1.76
20090113,2.26,2.5,2.0,1.55
20090114,2.22,2.5,2.0,1.58
20090115,2.04,2.5,2.0,1.88
20090116,2.02,2.5,2.0,1.87
20090119,1.99,2.5,2.0,1.75
20090120,2.0,2.5,2.0,1.75
20090121,2.1,2.5,2.0,1.76
20090122,2.51,2.5,2.0,1.75
20090123,2.44,2.5,2.0,1.76
20090128,2.47,2.5,2.0,1.7
20090129,2.45,2.5,2.0,1.63
20090130,2.41,2.5,2.0,1.64
20090202,2.38,2.5,2.0,1.78
20090203,2.38,2.5,2.0,1.82
20090204,2.38,2.5,2.0,1.82
20090205,2.39,2.5,2.0,1.94
20090206,2.39,2.5,2.0,1.87
20090209,2.2,2.5,2.0,1.79
20090210,2.07,2.5,2.0,1.81
20090211,2.06,2.5,2.0,1.74
20090212,2.02,2.0,2.0,1.63
20090213,1.92,2.0,2.0,1.56
20090216,1.69,2.0,2.0,1.89
20090217,1.76,2.0,2.0,1.76
20090218,1.75,2.0,2.0,1.76
20090219,1.79,2.0,2.0,1.73
20090220,1.82,2.0,2.0,1.72
20090223,1.76,2.0,2.0,1.65
20090224,1.55,2.0,2.0,1.66
20090225,1.58,2.0,2.0,1.65
20090226,1.88,2.0,2.0,1.57
20090227,1.87,2.0,2.0,1.58
20090302,1.75,2.0,2.0,1.86
20090303,1.75,2.0,2.0,1.82
20090304,1.76,2.0,2.0,1.8
20090305,1.75,2.0,2.0,1.79
20090306,1.76,2.0,2.0,1.76
20090309,1.7,2.0,2.0,1.83
20090310,1.63,2.0,2.0,1.83
20090311,1.64,2.0,2.0,1.86
20090312,1.78,2.0,2.0,1.57
20090313,1.82,2.0,2.0,1.57
20090316,1.82,2.0,2.0,1.89
20090317,1.94,2.0,2.0,1.84
20090318,1.87,2.0,2.0,1.87
20090319,1.79,2.0,2.0,1.85
20090320,1.81,2.0,2.0,1.84
20090323,1.74,2.0,2.0,1.85
20090324,1.63,2.0,2.0,1.77
20090325,1.56,2.0,2.0,1.72
20090326,1.89,2.0,2.0,1.83
20090327,1.76,2.0,2.0,1.92
20090330,1.76,2.0,2.0,1.93
20090331,1.73,2.0,2.0,1.93
20090401,1.72,2.0,2.0,1.93
20090402,1.65,2.0,2.0,1.93
20090403,1.66,2.0,2.0,1.93
20090406,1.65,2.0,2.0,1.89
20090407,1.57,2.0,2.0,1.74
20090408,1.58,2.0,2.0,1.73
20090409,1.86,2.0,2.0,1.96
20090410,1.82,2.0,2.0,1.97
20090413,1.8,2.0,2.0,1.97
20090414,1.79,2.0,2.0,1.97
20090415,1.76,2.0,2.0,1.96
20090416,1.83,2.0,2.0,1.97
20090417,1.83,2.0,2.0,1.96
20090420,1.86,2.0,2.0,1.95
20090421,1.57,2.0,2.0,1.93
20090422,1.57,2.0,2.0,1.92
20090423,1.89,2.0,2.0,1.93
20090424,1.84,2.0,2.0,1.93
20090427,1.87,2.0,2.0,1.93
20090428,1.85,2.0,2.0,1.96
20090429,1.84,2.0,2.0,1.93
20090430,1.85,2.0,2.0,1.96
20090504,1.77,2.0,2.0,1.94
20090506,1.72,2.0,2.0,1.93
20090507,1.83,2.0,2.0,1.94
20090508,1.92,2.0,2.0,1.95
20090511,1.93,2.0,2.0,1.95
20090512,1.93,2.0,2.0,1.94
20090513,1.93,2.0,2.0,1.93
20090514,1.93,2.0,2.0,1.82
20090515,1.93,2.0,2.0,1.87
20090518,1.89,2.0,2.0,1.93
20090519,1.74,2.0,2.0,1.92
20090520,1.73,2.0,2.0,1.92
20090521,1.96,2.0,2.0,1.96
20090522,1.97,2.0,2.0,1.9
20090525,1.97,2.0,2.0,1.92
20090526,1.97,2.0,2.0,1.92
20090527,1.96,2.0,2.0,1.93
20090528,1.97,2.0,2.0,1.92
20090529,1.96,2.0,2.0,1.92
20090601,1.95,2.0,2.0,1.93
20090602,1.93,2.0,2.0,1.94
20090603,1.92,2.0,2.0,1.94
20090604,1.93,2.0,2.0,1.95
20090605,1.93,2.0,2.0,1.95
20090608,1.93,2.0,2.0,1.95
20090609,1.96,2.0,2.0,1.94
20090610,1.93,2.0,2.0,1.94
20090611,1.96,2.0,2.0,1.93
20090612,1.94,2.0,2.0,1.93
20090615,1.93,2.0,2.0,1.93
20090616,1.94,2.0,2.0,1.93
20090617,1.95,2.0,2.0,1.93
20090618,1.95,2.0,2.0,1.93
20090619,1.94,2.0,2.0,1.93
20090622,1.93,2.0,2.0,1.93
20090623,1.82,2.0,2.0,1.95
20090624,1.87,2.0,2.0,1.94
20090625,1.93,2.0,2.0,1.97
20090626,1.92,2.0,2.0,1.97
20090629,1.92,2.0,2.0,1.98
20090630,1.96,2.0,2.0,1.99
20090701,1.9,2.0,2.0,1.99
20090702,1.92,2.0,2.0,1.99
20090703,1.92,2.0,2.0,1.98
20090706,1.93,2.0,2.0,1.98
20090707,1.92,2.0,2.0,1.97
20090708,1.92,2.0,2.0,1.98
20090709,1.93,2.0,2.0,1.97
20090710,1.94,2.0,2.0,1.97
20090713,1.94,2.0,2.0,1.99
20090714,1.95,2.0,2.0,1.98
20090715,1.95,2.0,2.0,1.98
20090716,1.95,2.0,2.0,1.98
20090717,1.94,2.0,2.0,1.98
20090720,1.94,2.0,2.0,1.97
20090721,1.93,2.0,2.0,1.97
20090722,1.93,2.0,2.0,1.99
20090723,1.93,2.0,2.0,1.98
20090724,1.93,2.0,2.0,1.98
20090727,1.93,2.0,2.0,1.97
20090728,1.93,2.0,2.0,1.97
20090729,1.93,2.0,2.0,1.97
20090730,1.93,2.0,2.0,1.91
20090731,1.95,2.0,2.0,1.98
20090803,1.94,2.0,2.0,1.99
20090804,1.97,2.0,2.0,1.99
20090805,1.97,2.0,2.0,2.0
20090806,1.98,2.0,2.0,1.99
20090807,1.99,2.0,2.0,1.99
20090810,1.99,2.0,2.0,2.0
20090811,1.99,2.0,2.0,2.0
20090812,1.98,2.0,2.0,1.97
20090813,1.98,2.0,2.0,1.8
20090814,1.97,2.0,2.0,1.79
20090817,1.98,2.0,2.0,2.0
20090818,1.97,2.0,2.0,2.0
20090819,1.97,2.0,2.0,2.0
20090820,1.99,2.0,2.0,2.01
20090821,1.98,2.0,2.0,2.0
20090824,1.98,2.0,2.0,2.0
20090825,1.98,2.0,2.0,1.99
20090826,1.98,2.0,2.0,2.0
20090827,1.97,2.0,2.0,1.99
20090828,1.97,2.0,2.0,1.99
20090831,1.99,2.0,2.0,1.99
20090901,1.98,2.0,2.0,1.99
20090902,1.98,2.0,2.0,1.99
20090903,1.97,2.0,2.0,1.99
20090904,1.97,2.0,2.0,1.99
20090907,1.97,2.0,2.0,1.98
20090908,1.91,2.0,2.0,1.98
20090909,1.98,2.0,2.0,1.99
20090910,1.99,2.0,2.0,2.02
20090911,1.99,2.0,2.0,2.0
20090914,2.0,2.0,2.0,2.0
20090915,1.99,2.0,2.0,2.0
20090916,1.99,2.0,2.0,2.0
20090917,2.0,2.0,2.0,2.0
20090918,2.0,2.0,2.0,2.01
20090921,1.97,2.0,2.0,2.01
20090922,1.8,2.0,2.0,2.0
20090923,1.79,2.0,2.0,1.99
20090924,2.0,2.0,2.0,1.99
20090925,2.0,2.0,2.0,2.0
20090928,2.0,2.0,2.0,2.0
20090929,2.01,2.0,2.0,2.0
20090930,2.0,2.0,2.0,2.07
20091001,2.0,2.0,2.0,1.98
20091005,1.99,2.0,2.0,2.01
20091006,2.0,2.0,2.0,2.0
20091007,1.99,2.0,2.0,2.01
20091008,1.99,2.0,2.0,1.99
20091009,1.99,2.0,2.0,1.96
20091012,1.99,2.0,2.0,1.95
20091013,1.99,2.0,2.0,2.01
20091014,1.99,2.0,2.0,2.03
20091015,1.99,2.0,2.0,2.0
20091016,1.98,2.0,2.0,1.99
20091019,1.98,2.0,2.0,2.01
20091020,1.99,2.0,2.0,2.0
20091021,2.02,2.0,2.0,2.01
20091022,2.0,2.0,2.0,2.0
20091023,2.0,2.0,2.0,2.0
20091026,2.0,2.0,2.0,2.0
20091027,2.0,2.0,2.0,2.0
20091028,2.0,2.0,2.0,1.99
20091029,2.01,2.0,2.0,1.97
20091030,2.01,2.0,2.0,1.99
20091102,2.0,2.0,2.0,2.01
20091103,1.99,2.0,2.0,2.0
20091104,1.99,2.0,2.0,2.0
20091105,2.0,2.0,2.0,2.0
20091106,2.0,2.0,2.0,2.0
20091109,2.0,2.0,2.0,2.0
20091110,2.07,2.0,2.0,2.0
20091111,1.98,2.0,2.0,2.0
20091112,2.01,2.0,2.0,1.99
20091113,2.0,2.0,2.0,1.98
20091116,2.01,2.0,2.0,2.0
20091117,1.99,2.0,2.0,2.0
20091118,1.96,2.0,2.0,2.0
20091119,1.95,2.0,2.0,2.0
20091120,2.01,2.0,2.0,2.01
20091123,2.03,2.0,2.0,1.98
20091124,2.0,2.0,2.0,1.98
20091125,1.99,2.0,2.0,1.96
20091126,2.01,2.0,2.0,1.99
20091127,2.0,2.0,2.0,2.0
20091130,2.01,2.0,2.0,2.0
20091201,2.0,2.0,2.0,2.0
20091202,2.0,2.0,2.0,2.0
20091203,2.0,2.0,2.0,2.0
20091204,2.0,2.0,2.0,2.0
20091207,1.99,2.0,2.0,1.99
20091208,1.97,2.0,2.0,1.99
20091209,1.99,2.0,2.0,1.97
20091210,2.01,2.0,2.0,2.01
20091211,2.0,2.0,2.0,2.0
20091214,2.0,2.0,2.0,2.01
20091215,2.0,2.0,2.0,2.01
20091216,2.0,2.0,2.0,2.0
20091217,2.0,2.0,2.0,2.0
20091218,2.0,2.0,2.0,2.0
20091221,2.0,2.0,2.0,2.01
20091222,1.99,2.0,2.0,2.0
20091223,1.98,2.0,2.0,2.0
20091224,2.0,2.0,2.0,2.0
20091228,2.0,2.0,2.0,2.0
20091229,2.0,2.0,2.0,2.0
20091230,2.0,2.0,2.0,1.99
20091231,2.01,2.0,2.0,1.97
20100104,1.98,2.0,2.0,2.02
20100105,1.98,2.0,2.0,2.01
20100106,1.96,2.0,2.0,2.01
20100107,1.99,2.0,2.0,2.01
20100108,2.0,2.0,2.0,2.01
20100111,2.0,2.0,2.0,2.01
20100112,2.0,2.0,2.0,1.98
20100113,2.0,2.0,2.0,1.92
20100114,2.0,2.0,2.0,1.9
20100115,2.0,2.0,2.0,2.02
20100118,1.99,2.0,2.0,2.01
20100119,1.99,2.0,2.0,2.01
20100120,1.97,2.0,2.0,2.01
20100121,2.01,2.0,2.0,2.02
20100122,2.0,2.0,2.0,2.01
20100125,2.01,2.0,2.0,2.01
20100126,2.01,2.0,2.0,2.02
20100127,2.0,2.0,2.0,1.99
20100128,2.0,2.0,2.0,2.02
20100129,2.0,2.0,2.0,2.01
20100201,2.01,2.0,2.0,2.01
20100202,2.0,2.0,2.0,2.0
20100203,2.0,2.0,2.0,2.0
20100204,2.0,2.0,2.0,2.01
20100205,2.0,2.0,2.0,2.01
20100208,2.0,2.0,2.0,2.0
20100209,1.99,2.0,2.0,2.0
20100210,1.97,2.0,2.0,1.98
20100211,2.02,2.0,2.0,2.01
20100212,2.01,2.0,2.0,2.0
20100216,2.01,2.0,2.0,1.99
20100217,2.01,2.0,2.0,1.99
20100218,2.01,2.0,2.0,2.0
20100219,2.01,2.0,2.0,1.99
20100222,1.98,2.0,2.0,1.99
20100223,1.92,2.0,2.0,2.0
20100224,1.9,2.0,2.0,2.02
20100225,2.02,2.0,2.0,2.02
20100226,2.01,2.0,2.0,2.0
20100302,2.01,2.0,2.0,2.0
20100303,2.01,2.0,2.0,2.01
20100304,2.02,2.0,2.0,2.01
20100305,2.01,2.0,2.0,2.0
20100308,2.01,2.0,2.0,2.0
20100309,2.02,2.0,2.0,1.99
20100310,1.99,2.0,2.0,2.0
20100311,2.02,2.0,2.0,2.0
20100312,2.01,2.0,2.0,2.01
20100315,2.01,2.0,2.0,2.0
20100316,2.0,2.0,2.0,2.0
20100317,2.0,2.0,2.0,2.01
20100318,2.01,2.0,2.0,2.01
20100319,2.01,2.0,2.0,2.0
20100322,2.0,2.0,2.0,2.0
20100323,2.0,2.0,2.0,2.0
20100324,1.98,2.0,2.0,2.05
20100325,2.01,2.0,2.0,2.05
20100326,2.0,2.0,2.0,2.01
20100329,1.99,2.0,2.0,2.01
20100330,1.99,2.0,2.0,2.01
20100331,2.0,2.0,2.0,2.01
20100401,1.99,2.0,2.0,2.01
20100402,1.99,2.0,2.0,2.01
20100405,2.0,2.0,2.0,2.01
20100406,2.02,2.0,2.0,2.01
20100407,2.02,2.0,2.0,2.01
20100408,2.0,2.0,2.0,2.01
20100409,2.0,2.0,2.0,2.02
20100412,2.01,2.0,2.0,2.02
20100413,2.01,2.0,2.0,2.01
20100414,2.0,2.0,2.0,1.99
20100415,2.0,2.0,2.0,1.98
20100416,1.99,2.0,2.0,1.98
20100419,2.0,2.0,2.0,2.0
20100420,2.0,2.0,2.0,1.99
20100421,2.01,2.0,2.0,1.99
20100422,2.0,2.0,2.0,1.98
20100423,2.0,2.0,2.0,1.99
20100426,2.01,2.0,2.0,1.95
20100427,2.01,2.0,2.0,1.97
20100428,2.0,2.0,2.0,2.02
20100429,2.0,2.0,2.0,2.02
20100430,2.0,2.0,2.0,2.02
20100503,2.05,2.0,2.0,2.02
20100504,2.05,2.0,2.0,2.01
20100506,2.01,2.0,2.0,2.01
20100507,2.01,2.0,2.0,2.0
20100510,2.01,2.0,2.0,2.01
20100511,2.01,2.0,2.0,2.01
20100512,2.01,2.0,2.0,1.97
20100513,2.01,2.0,2.0,2.02
20100514,2.01,2.0,2.0,2.01
20100517,2.01,2.0,2.0,1.99
20100518,2.01,2.0,2.0,1.95
20100519,2.01,2.0,2.0,2.03
20100520,2.02,2.0,2.0,1.99
20100524,2.02,2.0,2.0,1.99
20100525,2.01,2.0,2.0,2.0
20100526,1.99,2.0,2.0,2.05
20100527,1.98,2.0,2.0,2.04
20100528,1.98,2.0,2.0,2.02
20100531,2.0,2.0,2.25,2.26
20100601,1.99,2.0,2.25,2.27
20100603,1.99,2.0,2.25,2.26
20100604,1.98,2.0,2.25,2.26
20100607,1.99,2.0,2.25,2.27
20100608,1.95,2.0,2.25,2.25
20100609,1.97,2.0,2.25,2.26
20100610,2.02,2.0,2.25,2.27
20100611,2.02,2.0,2.25,2.27
20100614,2.02,2.0,2.25,2.27
20100615,2.02,2.0,2.25,2.27
20100616,2.01,2.0,2.25,2.27
20100617,2.01,2.0,2.25,2.27
20100618,2.0,2.0,2.25,2.27
20100621,2.01,2.0,2.25,2.28
20100622,2.01,2.0,2.25,2.28
20100623,1.97,2.0,2.25,2.27
20100624,2.02,2.0,2.25,2.27
20100625,2.01,2.0,2.25,2.27
20100628,1.99,2.0,2.25,2.28
20100629,1.95,2.0,2.25,2.27
20100630,2.03,2.0,2.25,2.27
20100701,1.99,2.0,2.25,2.28
20100702,1.99,2.0,2.25,2.29
20100705,2.0,2.0,2.25,2.27
20100706,2.05,2.0,2.25,2.27
20100707,2.04,2.0,2.25,2.27
20100708,2.02,2.0,2.25,2.27
20100709,2.26,2.25,2.25,2.27
20100712,2.27,2.25,2.25,2.28
20100713,2.26,2.25,2.25,2.28
20100714,2.26,2.25,2.25,2.26
20100715,2.27,2.25,2.25,2.3
20100716,2.25,2.25,2.25,2.29
20100719,2.26,2.25,2.25,2.28
20100720,2.27,2.25,2.25,2.28
20100721,2.27,2.25,2.25,2.27
20100722,2.27,2.25,2.25,2.28
20100723,2.27,2.25,2.25,2.27
20100726,2.27,2.25,2.25,2.27
20100727,2.27,2.25,2.25,2.27
20100728,2.27,2.25,2.25,2.26
20100729,2.28,2.25,2.25,2.26
20100730,2.28,2.25,2.25,2.27
20100802,2.27,2.25,2.25,2.27
20100803,2.27,2.25,2.25,2.27
20100804,2.27,2.25,2.25,2.27
20100805,2.28,2.25,2.25,2.27
20100806,2.27,2.25,2.25,2.28
20100809,2.27,2.25,2.25,2.28
20100810,2.28,2.25,2.25,2.28
20100811,2.29,2.25,2.25,2.28
20100812,2.27,2.25,2.25,2.28
20100813,2.27,2.25,2.25,2.27
20100816,2.27,2.25,2.25,2.27
20100817,2.27,2.25,2.25,2.26
20100818,2.27,2.25,2.25,2.27
20100819,2.28,2.25,2.25,2.27
20100820,2.28,2.25,2.25,2.24
20100823,2.26,2.25,2.25,2.18
20100824,2.3,2.25,2.25,2.2
20100825,2.29,2.25,2.25,2.28
20100826,2.28,2.25,2.25,2.27
20100827,2.28,2.25,2.25,2.27
20100830,2.27,2.25,2.25,2.27
20100831,2.28,2.25,2.25,2.27
20100901,2.27,2.25,2.25,2.28
20100902,2.27,2.25,2.25,2.27
20100903,2.27,2.25,2.25,2.26
20100906,2.26,2.25,2.25,2.28
20100907,2.26,2.25,2.25,2.29
20100908,2.27,2.25,2.25,2.28
20100909,2.27,2.25,2.25,2.28
20100910,2.27,2.25,2.25,2.25
20100913,2.27,2.25,2.25,2.24
20100914,2.27,2.25,2.25,2.24
20100915,2.28,2.25,2.25,2.24
20100916,2.28,2.25,2.25,2.26
20100917,2.28,2.25,2.25,2.24
20100920,2.28,2.25,2.25,2.23
20100924,2.28,2.25,2.25,2.24
20100927,2.27,2.25,2.25,2.24
20100928,2.27,2.25,2.25,2.24
20100929,2.26,2.25,2.25,2.24
20100930,2.27,2.25,2.25,2.27
20101001,2.27,2.25,2.25,2.26
20101004,2.24,2.25,2.25,2.24
20101005,2.18,2.25,2.25,2.24
20101006,2.2,2.25,2.25,2.24
20101007,2.28,2.25,2.5,2.49
20101008,2.27,2.25,2.5,2.5
20101011,2.27,2.25,2.5,2.5
20101012,2.27,2.25,2.5,2.5
20101013,2.27,2.25,2.5,2.51
