date,market_rate,base_rate
20100707,2.04,2.0
20100708,2.02,2.0
20100709,2.26,2.25
20100712,2.27,2.25
20100713,2.26,2.25
20100714,2.26,2.25
20100715,2.27,2.25
20100716,2.25,2.25
20100719,2.26,2.25
20100720,2.27,2.25
20100721,2.27,2.25
20100722,2.27,2.25
20100723,2.27,2.25
20100726,2.27,2.25
20100727,2.27,2.25
20100728,2.27,2.25
20100729,2.28,2.25
20100730,2.28,2.25
20100802,2.27,2.25
20100803,2.27,2.25
20100804,2.27,2.25
20100805,2.28,2.25
20100806,2.27,2.25
20100809,2.27,2.25
20100810,2.28,2.25
20100811,2.29,2.25
20100812,2.27,2.25
20100813,2.27,2.25
20100816,2.27,2.25
20100817,2.27,2.25
20100818,2.27,2.25
20100819,2.28,2.25
20100820,2.28,2.25
20100823,2.26,2.25
20100824,2.3,2.25
20100825,2.29,2.25
20100826,2.28,2.25
20100827,2.28,2.25
20100830,2.27,2.25
20100831,2.28,2.25
20100901,2.27,2.25
20100902,2.27,2.25
20100903,2.27,2.25
20100906,2.26,2.25
20100907,2.26,2.25
20100908,2.27,2.25
20100909,2.27,2.25
20100910,2.27,2.25
20100913,2.27,2.25
20100914,2.27,2.25
20100915,2.28,2.25
20100916,2.28,2.25
20100917,2.28,2.25
20100920,2.28,2.25
20100924,2.28,2.25
20100927,2.27,2.25
20100928,2.27,2.25
20100929,2.26,2.25
20100930,2.27,2.25
20101001,2.27,2.25
20101004,2.24,2.25
20101005,2.18,2.25
20101006,2.2,2.25
20101007,2.28,2.25
20101008,2.27,2.25
20101011,2.27,2.25
20101012,2.27,2.25
20101013,2.27,2.25
20101014,2.28,2.25
20101015,2.27,2.25
20101018,2.26,2.25
20101019,2.28,2.25
20101020,2.29,2.25
20101021,2.28,2.25
20101022,2.28,2.25
20101025,2.25,2.25
20101026,2.24,2.25
20101027,2.24,2.25
20101028,2.24,2.25
20101029,2.26,2.25
20101101,2.24,2.25
20101102,2.23,2.25
20101103,2.24,2.25
20101104,2.24,2.25
20101105,2.24,2.25
20101108,2.24,2.25
20101109,2.27,2.25
20101110,2.26,2.25
20101111,2.24,2.25
20101112,2.24,2.25
20101115,2.24,2.25
20101116,2.49,2.5
20101117,2.5,2.5
20101118,2.5,2.5
20101119,2.5,2.5
20101122,2.51,2.5
20101123,2.52,2.5
20101124,2.54,2.5
20101125,2.5,2.5
20101126,2.5,2.5
20101129,2.5,2.5
20101130,2.51,2.5
20101201,2.5,2.5
20101202,2.5,2.5
20101203,2.5,2.5
20101206,2.5,2.5
20101207,2.52,2.5
20101208,2.52,2.5
20101209,2.51,2.5
20101210,2.5,2.5
20101213,2.5,2.5
20101214,2.49,2.5
20101215,2.49,2.5
20101216,2.5,2.5
20101217,2.49,2.5
20101220,2.5,2.5
20101221,2.52,2.5
20101222,2.53,2.5
20101223,2.5,2.5
20101224,2.5,2.5
20101227,2.5,2.5
20101228,2.49,2.5
20101229,2.49,2.5
20101230,2.49,2.5
20101231,2.51,2.5
20110103,2.49,2.5
20110104,2.5,2.5
20110105,2.49,2.5
20110106,2.49,2.5
20110107,2.49,2.5
20110110,2.49,2.5
20110111,2.5,2.5
20110112,2.5,2.5
20110113,2.74,2.75
20110114,2.74,2.75
20110117,2.74,2.75
20110118,2.76,2.75
20110119,2.77,2.75
20110120,2.75,2.75
20110121,2.75,2.75
20110124,2.75,2.75
20110125,2.75,2.75
20110126,2.74,2.75
20110127,2.74,2.75
20110128,2.74,2.75
20110131,2.75,2.75
20110201,2.75,2.75
20110207,2.75,2.75
20110208,2.78,2.75
20110209,2.77,2.75
20110210,2.75,2.75
20110211,2.75,2.75
20110214,2.75,2.75
20110215,2.74,2.75
20110216,2.75,2.75
20110217,2.75,2.75
20110218,2.75,2.75
20110221,2.75,2.75
20110222,2.75,2.75
20110223,2.75,2.75
20110224,2.76,2.75
20110225,2.76,2.75
20110228,2.76,2.75
20110302,2.75,2.75
20110303,2.75,2.75
20110304,2.75,2.75
20110307,2.76,2.75
20110308,2.75,2.75
20110309,2.75,2.75
20110310,2.99,3.0
20110311,2.97,3.0
20110314,2.96,3.0
20110315,2.99,3.0
20110316,3.0,3.0
20110317,2.99,3.0
20110318,2.99,3.0
20110321,2.99,3.0
20110322,3.01,3.0
20110323,3.02,3.0
20110324,3.0,3.0
20110325,2.99,3.0
20110328,2.99,3.0
20110329,2.98,3.0
20110330,2.98,3.0
20110331,2.99,3.0
20110401,2.98,3.0
20110404,2.99,3.0
20110405,3.03,3.0
20110406,3.04,3.0
20110407,3.01,3.0
20110408,3.01,3.0
20110411,3.01,3.0
20110412,3.0,3.0
20110413,3.01,3.0
20110414,3.01,3.0
20110415,3.01,3.0
20110418,3.0,3.0
20110419,3.03,3.0
20110420,3.04,3.0
20110421,3.02,3.0
20110422,3.02,3.0
20110425,3.02,3.0
20110426,3.02,3.0
20110427,3.01,3.0
20110428,3.01,3.0
20110429,3.02,3.0
20110502,3.01,3.0
20110503,3.01,3.0
20110504,3.01,3.0
20110506,3.01,3.0
20110509,3.05,3.0
20110511,3.03,3.0
20110512,3.02,3.0
20110513,3.02,3.0
20110516,3.03,3.0
20110517,3.03,3.0
20110518,3.03,3.0
20110519,3.02,3.0
20110520,3.02,3.0
20110523,3.02,3.0
20110524,3.06,3.0
20110525,3.05,3.0
20110526,3.02,3.0
20110527,3.03,3.0
20110530,3.03,3.0
20110531,3.03,3.0
20110601,3.02,3.0
20110602,3.02,3.0
20110603,3.0,3.0
20110607,3.04,3.0
20110608,3.01,3.0
20110609,3.02,3.0
20110610,3.26,3.25
20110613,3.26,3.25
20110614,3.27,3.25
20110615,3.26,3.25
20110616,3.26,3.25
20110617,3.26,3.25
20110620,3.26,3.25
20110621,3.29,3.25
20110622,3.29,3.25
20110623,3.26,3.25
20110624,3.26,3.25
20110627,3.26,3.25
20110628,3.26,3.25
20110629,3.26,3.25
20110630,3.28,3.25
20110701,3.26,3.25
20110704,3.26,3.25
20110705,3.3,3.25
20110706,3.27,3.25
20110707,3.26,3.25
20110708,3.26,3.25
20110711,3.26,3.25
20110712,3.26,3.25
20110713,3.26,3.25
20110714,3.27,3.25
20110715,3.26,3.25
20110718,3.26,3.25
20110719,3.26,3.25
20110720,3.27,3.25
20110721,3.26,3.25
20110722,3.26,3.25
20110725,3.26,3.25
20110726,3.26,3.25
20110727,3.26,3.25
20110728,3.26,3.25
20110729,3.27,3.25
20110801,3.26,3.25
20110802,3.26,3.25
20110803,3.25,3.25
20110804,3.25,3.25
20110805,3.26,3.25
20110808,3.25,3.25
20110809,3.31,3.25
20110810,3.29,3.25
20110811,3.25,3.25
20110812,3.24,3.25
20110816,3.22,3.25
20110817,3.2,3.25
20110818,3.22,3.25
20110819,3.23,3.25
20110822,3.2,3.25
20110823,3.25,3.25
20110824,3.26,3.25
20110825,3.26,3.25
20110826,3.26,3.25
20110829,3.26,3.25
20110830,3.26,3.25
20110831,3.27,3.25
20110901,3.26,3.25
20110902,3.26,3.25
20110905,3.26,3.25
20110906,3.25,3.25
20110907,3.23,3.25
20110908,3.27,3.25
20110909,3.25,3.25
20110914,3.26,3.25
20110915,3.26,3.25
20110916,3.25,3.25
20110919,3.24,3.25
20110920,3.27,3.25
20110921,3.28,3.25
20110922,3.25,3.25
20110923,3.23,3.25
20110926,3.24,3.25
20110927,3.24,3.25
20110928,3.26,3.25
20110929,3.26,3.25
20110930,3.28,3.25
20111004,3.25,3.25
20111005,3.23,3.25
20111006,3.25,3.25
20111007,3.25,3.25
20111010,3.25,3.25
20111011,3.24,3.25
20111012,3.24,3.25
20111013,3.24,3.25
20111014,3.24,3.25
20111017,3.22,3.25
20111018,3.27,3.25
20111019,3.26,3.25
20111020,3.25,3.25
20111021,3.23,3.25
20111024,3.24,3.25
20111025,3.24,3.25
20111026,3.23,3.25
20111027,3.23,3.25
20111028,3.23,3.25
20111031,3.26,3.25
20111101,3.25,3.25
20111102,3.25,3.25
20111103,3.25,3.25
20111104,3.25,3.25
20111107,3.26,3.25
20111108,3.27,3.25
20111109,3.28,3.25
20111110,3.26,3.25
20111111,3.25,3.25
20111114,3.25,3.25
20111115,3.26,3.25
20111116,3.26,3.25
20111117,3.26,3.25
20111118,3.26,3.25
20111121,3.26,3.25
20111122,3.27,3.25
20111123,3.26,3.25
20111124,3.26,3.25
20111125,3.26,3.25
20111128,3.26,3.25
20111129,3.25,3.25
20111130,3.27,3.25
20111201,3.26,3.25
20111202,3.25,3.25
20111205,3.25,3.25
20111206,3.27,3.25
20111207,3.26,3.25
20111208,3.26,3.25
20111209,3.25,3.25
20111212,3.26,3.25
20111213,3.26,3.25
20111214,3.25,3.25
20111215,3.26,3.25
20111216,3.25,3.25
20111219,3.26,3.25
20111220,3.28,3.25
20111221,3.3,3.25
20111222,3.26,3.25
20111223,3.26,3.25
20111226,3.26,3.25
20111227,3.26,3.25
20111228,3.28,3.25
20111229,3.27,3.25
20111230,3.29,3.25
20120102,3.25,3.25
20120103,3.25,3.25
20120104,3.24,3.25
20120105,3.25,3.25
20120106,3.25,3.25
20120109,3.25,3.25
20120110,3.28,3.25
20120111,3.28,3.25
20120112,3.25,3.25
20120113,3.25,3.25
20120116,3.26,3.25
20120117,3.26,3.25
20120118,3.26,3.25
20120119,3.27,3.25
20120120,3.27,3.25
20120125,3.23,3.25
20120126,3.26,3.25
20120127,3.26,3.25
20120130,3.27,3.25
20120131,3.27,3.25
20120201,3.26,3.25
20120202,3.25,3.25
20120203,3.25,3.25
20120206,3.24,3.25
20120207,3.28,3.25
20120208,3.27,3.25
20120209,3.25,3.25
20120210,3.25,3.25
20120213,3.25,3.25
20120214,3.25,3.25
20120215,3.25,3.25
20120216,3.25,3.25
20120217,3.25,3.25
20120220,3.26,3.25
20120221,3.25,3.25
20120222,3.25,3.25
20120223,3.25,3.25
20120224,3.25,3.25
20120227,3.25,3.25
20120228,3.25,3.25
20120229,3.26,3.25
20120302,3.25,3.25
20120305,3.24,3.25
20120306,3.25,3.25
20120307,3.22,3.25
20120308,3.26,3.25
20120309,3.25,3.25
20120312,3.25,3.25
20120313,3.25,3.25
20120314,3.25,3.25
20120315,3.25,3.25
20120316,3.25,3.25
20120319,3.25,3.25
20120320,3.25,3.25
20120321,3.25,3.25
20120322,3.25,3.25
20120323,3.25,3.25
20120326,3.25,3.25
20120327,3.25,3.25
20120328,3.24,3.25
20120329,3.23,3.25
20120330,3.24,3.25
20120402,3.24,3.25
20120403,3.24,3.25
20120404,3.22,3.25
20120405,3.24,3.25
20120406,3.27,3.25
20120409,3.25,3.25
20120410,3.23,3.25
20120412,3.24,3.25
20120413,3.24,3.25
20120416,3.24,3.25
20120417,3.24,3.25
20120418,3.24,3.25
20120419,3.24,3.25
20120420,3.25,3.25
20120423,3.25,3.25
20120424,3.26,3.25
20120425,3.26,3.25
20120426,3.26,3.25
20120427,3.26,3.25
20120430,3.26,3.25
20120502,3.25,3.25
20120503,3.25,3.25
20120504,3.24,3.25
20120507,3.24,3.25
20120508,3.29,3.25
20120509,3.28,3.25
20120510,3.26,3.25
20120511,3.25,3.25
20120514,3.26,3.25
20120515,3.26,3.25
20120516,3.26,3.25
20120517,3.26,3.25
20120518,3.26,3.25
20120521,3.26,3.25
20120522,3.26,3.25
20120523,3.26,3.25
20120524,3.26,3.25
20120525,3.26,3.25
20120529,3.26,3.25
20120530,3.26,3.25
20120531,3.27,3.25
20120601,3.25,3.25
20120604,3.27,3.25
20120605,3.27,3.25
20120607,3.26,3.25
20120608,3.26,3.25
20120611,3.26,3.25
20120612,3.26,3.25
20120613,3.26,3.25
20120614,3.26,3.25
20120615,3.26,3.25
20120618,3.26,3.25
20120619,3.25,3.25
20120620,3.26,3.25
20120621,3.26,3.25
20120622,3.26,3.25
20120625,3.25,3.25
20120626,3.25,3.25
20120627,3.24,3.25
20120628,3.25,3.25
20120629,3.26,3.25
20120702,3.25,3.25
20120703,3.25,3.25
20120704,3.25,3.25
20120705,3.25,3.25
20120706,3.25,3.25
20120709,3.25,3.25
20120710,3.29,3.25
20120711,3.25,3.25
20120712,3.0,3.0
20120713,3.0,3.0
20120716,3.01,3.0
20120717,3.01,3.0
20120718,3.0,3.0
20120719,3.01,3.0
20120720,3.0,3.0
20120723,3.0,3.0
20120724,3.0,3.0
20120725,3.01,3.0
20120726,3.0,3.0
20120727,3.0,3.0
20120730,3.0,3.0
20120731,3.02,3.0
20120801,3.0,3.0
20120802,2.99,3.0
20120803,3.0,3.0
20120806,2.99,3.0
20120807,2.99,3.0
20120808,2.99,3.0
20120809,3.0,3.0
20120810,2.99,3.0
20120813,2.99,3.0
20120814,3.0,3.0
20120816,3.0,3.0
20120817,2.99,3.0
20120820,2.99,3.0
20120821,3.0,3.0
20120822,3.0,3.0
